learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
37000.0,1.107149424,0.0,37000.0,64.9,23.117361019844935,29.233870967741936,10.913705583756354,6351.0,0.0,0.0,0.0
37100.0,1.109941912,0.0,37100.0,63.9,21.7259323503903,28.08764940239044,10.42183622828785,6451.0,0.0,0.0,0.0
37200.0,1.11269775,0.0,37200.0,63.0,19.8756123019087,26.294820717131472,8.188585607940453,6551.0,0.0,0.0,0.0
37300.0,1.115448038,0.0,37300.0,64.1,20.89444366097871,27.766599597585518,7.712082262210804,6651.0,0.0,0.0,0.0
37400.0,1.118157663,0.0,37400.0,64.4,21.41835455332074,28.800000000000004,7.772020725388608,6751.0,0.0,0.0,0.0
37500.0,1.120900113,0.0,37500.0,65.3,23.43065951136846,30.738522954091824,10.567010309278361,6851.0,0.0,0.0,0.0
37600.0,1.123827115,0.0,37600.0,65.0,23.27623623904494,28.42535787321064,10.485933503836325,6951.0,0.0,0.0,0.0
37700.0,1.126761431,0.0,37700.0,64.9,23.781811864848443,31.041257367387036,11.139240506329124,7051.0,0.0,0.0,0.0
37800.0,1.129528419,0.0,37800.0,63.5,21.447940429561395,27.579365079365083,9.876543209876552,7151.0,0.0,0.0,0.0
37900.0,1.132274394,0.0,37900.0,62.5,19.624485596707814,25.447316103379723,7.407407407407414,7251.0,0.0,0.0,0.0
38000.0,1.135024344,0.0,38000.0,61.8,18.170795971089863,22.983870967741936,5.210918114143925,7351.0,0.0,0.0,0.0
38100.0,1.137782395,0.0,38100.0,61.8,17.9327650213117,21.23711340206185,3.535353535353538,7451.0,0.0,0.0,0.0
38200.0,1.140521032,0.0,38200.0,61.9,18.598788168835945,22.40325865580448,5.22388059701493,7551.0,0.0,0.0,0.0
38300.0,1.143256032,0.0,38300.0,61.1,17.319186199743243,20.934959349593495,4.187192118226604,7651.0,0.0,0.0,0.0
38400.0,1.146067059,0.0,38400.0,60.9,16.74474065241462,22.574257425742573,4.16666666666667,7751.0,0.0,0.0,0.0
38500.0,1.14896576,0.0,38500.0,60.5,16.04961361569001,22.549019607843135,3.422982885085577,7851.0,0.0,0.0,0.0
38600.0,1.151735611,0.0,38600.0,61.0,16.849668464703736,21.686746987951803,3.703703703703707,7951.0,0.0,0.0,0.0
38700.0,1.154646314,0.0,38700.0,61.6,16.88995277444711,19.999999999999996,1.2853470437018006,8051.0,0.0,0.0,0.0
38800.0,1.157742168,0.0,38800.0,61.9,17.153741780607447,21.604938271604933,2.55754475703325,8151.0,0.0,0.0,0.0
38900.0,1.160909311,0.0,38900.0,62.4,18.53889984184415,21.991701244813274,4.810126582278485,8251.0,0.0,0.0,0.0
39000.0,1.163793425,0.0,39000.0,62.7,19.046792256272237,22.129436325678494,4.60358056265985,8351.0,0.0,0.0,0.0
39100.0,1.166695153,0.0,39100.0,62.3,18.28081918601626,21.129707112970706,3.8265306122449014,8451.0,0.0,0.0,0.0
